2012-02-03 17:22:43,852 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:22:43,920 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:22:48,923 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:22:48,980 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:22:53,984 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:22:54,052 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:22:59,056 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:22:59,117 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:23:04,121 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:23:04,188 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:23:09,191 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:23:09,261 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:23:14,264 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:23:14,335 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:23:19,337 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:23:19,395 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:23:24,398 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:23:24,458 | DEBUG | Checkpoint done. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ Journal Checkpoint Worker
2012-02-03 17:23:25,620 | INFO  | ActiveMQ Message Broker (localhost, ID:wp-appliance-49433-1328289733539-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-4
2012-02-03 17:23:25,621 | DEBUG | Caught exception, must be shutting down: java.lang.IllegalStateException: Shutdown in progress | org.apache.activemq.broker.BrokerService | Thread-4
2012-02-03 17:23:25,621 | INFO  | ActiveMQ Message Broker (localhost, ID:wp-appliance-49433-1328289733539-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2012-02-03 17:23:25,621 | DEBUG | Caught exception, must be shutting down: java.lang.IllegalStateException: Shutdown in progress | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2012-02-03 17:23:25,621 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2012-02-03 17:23:25,625 | INFO  | PListStore:/var/lib/activemq/camel-social/data/localhost/tmp_storage stopped | org.apache.activemq.store.kahadb.plist.PListStore | ActiveMQ ShutdownHook
2012-02-03 17:23:25,625 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2012-02-03 17:23:25,626 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2012-02-03 17:23:25,626 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2012-02-03 17:23:25,632 | DEBUG | Checkpoint started. | org.apache.activemq.store.kahadb.MessageDatabase | ActiveMQ ShutdownHook
